Character,Dialogue
Uncle Vernon," I should think you’d be a little more grateful. We’ve raised you since you were a baby, given you the food off our table, even let you have Dudley’s second bedroom, purely out of the goodness of our hearts."
Uncle Vernon," Which should be any minute! Ahem…Now let’s go over our schedule once again, shall we? Petunia when the Masons arrive you will be…?"
Uncle Vernon," Good! And- and Dudley, you will be…?"
Uncle Vernon, Excellent! …And you…?
Uncle Vernon," Too right, you will. With any luck, this could well be the day I make the biggest deal of my career. And you will not mess it up!"
Uncle Vernon, Mr. and Mrs. Mason! Do come in!
Uncle Vernon," Ohh, don’t mind that! It’s just the cat."
Uncle Vernon, So when they arrive at the ninth hole…
Uncle Vernon, What the devil are you doing up here?
Uncle Vernon, You just ruined the punch line of my Japanese golfer joke!
Uncle Vernon," One more sound, and you’ll wish you’d never been born, boy! And fix that door!"
Uncle Vernon," …it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. And one plumber said “Look at all that water.” A-and the second plumber said, “Yes, and that’s just the top of it!”"
Uncle Vernon, I’m so sorry! It’s my nephew- he’s very disturbed. Meeting strangers upsets him. That’s why I kept him upstairs!
Uncle Vernon, You’re never going back to that school. You’re never going to see those freaky friends of yours again. Never!
Uncle Vernon," Now, what the hell’s he doing? Potter!"
Uncle Vernon," Petunia, he’s escaping!"
Uncle Vernon, Come here!
Uncle Vernon," Oh no, boy! You and that bloody pigeon aren’t going anywhere!"
Uncle Vernon, No! No! No! No! Aaaah!
Uncle Vernon, Oh… Damn.
