Obs,House,Character,Dialogue
5534,Gryffindor,Hermlone,Spiders! There's-- There's spiders.
5535,Gryffindor,Hermlone,Spiders. They want me to tap-dance.
5536,Gryffindor,Hermlone,-l don't wanna tap-dance!
5537,Gryffindor,Hermlone,"""""-Tell those spiders."
5538,Gryffindor,Hermlone,"Right, yeah. Tell them. l'll tell them...."
5539,Gryffindor,Hermlone,"""""-Always Trailing after Sirius Black."
5540,Gryffindor,Hermlone,"He didn't kill Pettigrew,"
5541,Gryffindor,Hermlone,he destroyed him!
5542,Gryffindor,Hermlone,-Put that light out!
5543,Gryffindor,Hermlone,"""""-Sorry."
5544,Gryffindor,Hermlone,"""""-Watch it There, boy."
5545,Gryffindor,Hermlone,-We're trying to sleep here!
5546,Gryffindor,Hermlone,Duck!
5547,Gryffindor,Hermlone,Harry!
5548,Gryffindor,Hermlone,-Don't worry.
5549,Gryffindor,Hermlone,"""""-Where Do you suppose This goes?"
5550,Gryffindor,Hermlone,"""""-l have a hunch."
5551,Gryffindor,Hermlone,I just hope l'm wrong.
5552,Gryffindor,Hermlone,aren't we?
5553,Gryffindor,Hermlone,Harry!
5554,Gryffindor,Hermlone,Have you taken your potion tonight?
5555,Gryffindor,Hermlone,"You know the man you truly are, Remus!"
5556,Gryffindor,Hermlone,This heart is where you truly live! Here!
5557,Gryffindor,Hermlone,This flesh is only flesh!
5558,Gryffindor,Hermlone,Expelliarmus!
5559,Gryffindor,Hermlone,Harry!
5560,Gryffindor,Hermlone,Harry?
5561,Gryffindor,Hermlone,I saw my dad.
5562,Gryffindor,Hermlone,What?
5563,Gryffindor,Hermlone,He sent the dementors away.
5564,Gryffindor,Hermlone,I saw him across the lake.
5565,Gryffindor,Hermlone,"Harry, they've captured Sirius."
5566,Gryffindor,Hermlone,Any minute the dementors
5567,Gryffindor,Hermlone,are gonna perform the Kiss.
5568,Gryffindor,Hermlone,-They're gonna kill him?
5569,Gryffindor,Hermlone,-No. It's worse.
5570,Gryffindor,Hermlone,Much worse.
5571,Gryffindor,Hermlone,They're going to suck out his soul.
5572,Gryffindor,Hermlone,"Headmaster, stop them."
5573,Gryffindor,Hermlone,-They've got the wrong man.
5574,Gryffindor,Hermlone,-lt's true. Sirius is innocent.
5575,Gryffindor,Hermlone,-lt's Scabbers who did it.
5576,Gryffindor,Hermlone,"""""-Scabbers?"
5577,Gryffindor,Hermlone,We're coming out the back door. Go!
5578,Gryffindor,Hermlone,Is that really what my hair
5579,Gryffindor,Hermlone,looks like from the back?
5580,Gryffindor,Hermlone,I thought I just saw....
5581,Gryffindor,Hermlone,"""""-Never mind."
5582,Gryffindor,Hermlone,"Okay, go, Harry. Go!"
5583,Gryffindor,Hermlone,And Snape's coming.
5584,Gryffindor,Hermlone,And now we wait.
5585,Gryffindor,Hermlone,At least someone's enjoying himself.
5586,Gryffindor,Hermlone,Harry!
5587,Gryffindor,Hermlone,That was so scary.
5588,Gryffindor,Hermlone,Poor Professor Lupin's
5589,Gryffindor,Hermlone,having a really tough night.
5590,Gryffindor,Hermlone,Sirius. Come on!
5591,Gryffindor,Hermlone,"""""-This Is horrible."
5592,Gryffindor,Hermlone,-Don't worry.
5593,Gryffindor,Hermlone,My dad will come.
5594,Gryffindor,Hermlone,He'll conjure the Patronus.
5595,Gryffindor,Hermlone,Any minute now.
5596,Gryffindor,Hermlone,Right there. You'll see.
5597,Gryffindor,Hermlone,"Harry, listen to me."
5598,Gryffindor,Hermlone,No one's coming.
5599,Gryffindor,Hermlone,"Don't worry, he will."
5600,Gryffindor,Hermlone,He will come.
5601,Gryffindor,Hermlone,...both of you.
5602,Gryffindor,Hermlone,Harry!
5603,Gryffindor,Hermlone,Expecto Patronum!
5604,Gryffindor,Hermlone,"You were right, Hermione."
5605,Gryffindor,Hermlone,It wasn't my dad I saw earlier.
5606,Gryffindor,Hermlone,It was me!
5607,Gryffindor,Hermlone,I saw myself conjuring
5608,Gryffindor,Hermlone,the Patronus before.
5609,Gryffindor,Hermlone,I knew l could do it
5610,Gryffindor,Hermlone,this time because...
5611,Gryffindor,Hermlone,"...well, l had already done it."
5612,Gryffindor,Hermlone,"""""-Does That make sense?"
5613,Gryffindor,Hermlone,"""""-No."
5614,Gryffindor,Hermlone,But l don't like flying...!
5615,Gryffindor,Hermlone,Bombarda!
5616,Gryffindor,Hermlone,"How fast is it, Harry?"
5617,Gryffindor,Hermlone," lt's a cat, Ronald."
5618,Gryffindor,Hermlone, That's rich...
5619,Gryffindor,Hermlone," Good morning, Mr. Weasley."
5620,Gryffindor,Hermlone," Honestly, it's not funny."
5621,Gryffindor,Hermlone, That's awful.
5622,Gryffindor,Hermlone," Honestly, Ron. If you ask me,"
5623,Gryffindor,Hermlone, Don't be silly. How could
5624,Gryffindor,Hermlone, Just ignore him.
5625,Gryffindor,Hermlone, No one knows.
5626,Gryffindor,Hermlone," Please, sir."
5627,Gryffindor,Hermlone, lt's meant to be
5628,Gryffindor,Hermlone, He won't keep it.
5629,Gryffindor,Hermlone," Excuse me, excuse me."
5630,Gryffindor,Hermlone," Well, maybe you should"
5631,Gryffindor,Hermlone, Did not.
5632,Gryffindor,Hermlone, Didn't.
5633,Gryffindor,Hermlone, l can't believe they're going
5634,Gryffindor,Hermlone, Ron!
5635,Gryffindor,Hermlone," Oh, I'm sorry."
5636,Gryffindor,Hermlone," We're in the Shrieking Shack,"
5637,Gryffindor,Hermlone, Ron. You're okay.
5638,Gryffindor,Hermlone, That looks really painful.
5639,Gryffindor,Hermlone, l'm sure Madam Pomfrey
5640,Gryffindor,Hermlone,7
5641,Gryffindor,Hermlone," You foul, loathsome,"
5642,Gryffindor,Hermlone, That felt good.
5643,Gryffindor,Hermlone, Come on.
5644,Gryffindor,Hermlone, Uh-huh.
5645,Gryffindor,Hermlone, You're dying...
5646,Gryffindor,Hermoine, It can't be Hagrid. It just can't be.
5647,Gryffindor,Hermoine,Oculus Reparo.
5648,Gryffindor,Hermoine,He called me a mudblood.
5649,Gryffindor,Hermoine,"""The Chamber of Secrets has been opened, Enemies of the heir, beware."" It's written in blood."
5650,Gryffindor,Hermoine,[about Myrtle] She's a little sensitive.
5651,Gryffindor,Hermoine,[while looking at a past version of herself using the time turner] Is that really what my hair looks like from the back?
5652,Gryffindor,Hermoine,"[To Malfoy] You! You foul, loathsome, evil little cockroach!"
5653,Gryffindor,Hermoine,"[To Sirius] If you want to kill Harry, you'll have to kill us, too!"
5654,Gryffindor,Hermoine,"[To Harry] Harry, you're in Hagrid's hut now. If you just go bursting in, you'll think you've gone mad. Awful things happen to wizards who've meddled with time. We can't be seen."
5655,Gryffindor,Hermoine,"[To Harry] Go on, Harry. Harry, for goodness sake."
5656,Gryffindor,Hermoine,[To Harry] I'm not an owl!
5657,Gryffindor,Hermoine,"Look at this! I can't believe it she's done it again. ""Miss Granger, a plain but ambitious girl, seems to be developing a taste for famous wizards. Her latest prey, sources report, is none other than the Bulgarian bon-bon Viktor Krum. No word yet on how Harry Potter's taking this latest emotional blow."""
5658,Gryffindor,Hermoine,"I won't be going alone, because believe it or not, someone's asked me! And I said yes!"
5659,Gryffindor,Hermoine,"[To Ron] Next time there's a ball, pluck up the courage and ask me before somebody else does! And not i the last resort!"
5660,Gryffindor,Hermoine,"If Voldemort really has taken over the Ministry, none of the old places are safe."
5661,Gryffindor,Hermoine,Actually I'm highly logical which allows me to look past extraneous detail and perceive clearly that which others overlook.
5662,Gryffindor,Hermoine,"Forest of Dean. I came here once with Mum and Dad. That was years ago. It's just how I remember it. The trees, the river, everything. Like nothing's changed... not true of course. Everything's changed. If I brought them back here now, they'd probably not recognize any of it. Not the trees, not the river... not even me. [Pause] Maybe we should just stay here, Harry. Grow old... [Another pause] You wanted to know who the boy in the photograph was. I know. Gellert Grindlewald. [Hands Harry The Life and Lies of Albus Dumbledore]"
5663,Gryffindor,Hermoine,"[Whacking Ron with a backpack with each word after he returns] You...complete...ARSE, Ronald Weasley! You show up here after WEEKS, and you say 'Hey'?!"
5664,Gryffindor,Hermoine,"[Reading the Tale of the Three Brothers] ""There were once three brothers who were traveling along a lonely winding road, at twilight. In time, the brothers reached a river too treacherous to pass, but being learned in the magical arts, the three brothers simply waved their wands and made a bridge. Before they could cross, however, they found their path blocked by a hooded figure. It was Death, and he felt cheated. Cheated because travelers would normally drown in the river, but Death was cunning. He pretended to congratulate the three brothers on their magic and said that each had earned a prize for having been clever enough to evade him. The oldest asked for a wand more powerful than any in existence, so Death fashioned him one from an elder tree that stood nearby. The second brother decided he wanted to humiliate Death even further and asked for the power to recall loved ones from the grave, so Death plucked a stone from the river and offered it to him. Finally Death turned to the third brother. A humble man, he asked for something that would allow him to go forth from that place without being followed by Death. And so it was that Death reluctantly handed over his own Cloak of Invisibility. The first brother traveled to a distant village. While with the Elder Wand in hand, he killed a wizard with whom he had once quarreled. Drunk with the power that the Elder Wand had given him, he bragged of his invincibility. But that night, another wizard stole the wand and slit the brother's throat for good measure. And so Death took the first brother for his own. The second brother journeyed to his home, where he took the stone and turned it thrice in hand. To his delight, the girl he had once hoped to marry before her untimely death appeared before him. Yet soon she turned sad and cold, for she did not belong in the mortal world. Driven mad with hopeless longing, the second brother killed himself so as to join her. And so Death took the second brother. As for the third brother, Death searched for many years but was never able to find him. Only when he attained a great age did the youngest brother shed the Cloak of Invisibility and give it to his son. He then greeted Death as an old friend and went with him gladly, departing this life as equals."""
5665,Gryffindor,Hermoine Granger,Oculus Reparo.
5666,Gryffindor,Hermoine Granger,"[deleted scene] He's rather disagreeable, isn't he?"
5667,Gryffindor,Hermoine Granger,"I'm going to bed before either of you come up with another clever idea to get us all killed. Or worse, expelled."
5668,Ravenclaw,Hooch," Good afternoon, class."
5669,Ravenclaw,Hooch," Good afternoon, Amanda, good afternoon. {to class} Welcome to your first flying lesson. Well, what are you waiting for? Everyone step up to the left side of their broomstick. Come on now, hurry up. Stick your right hand over the broom and say, Up!"
5670,Ravenclaw,Hooch, With feeling!
5671,Ravenclaw,Hooch," Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end. {Class mounts} When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2...{tweet!}"
5672,Ravenclaw,Hooch, Mr. Longbottom.
5673,Ravenclaw,Hooch, {Neville begins soaring away} M-M-Mr. Longbottom Mr. Longbottom!
5674,Ravenclaw,Hooch, Mr. Longbottom!
5675,Ravenclaw,Hooch, Come back down this instant!
5676,Ravenclaw,Hooch, Mr. Longbottom! {Neville approaches. The students scatter and Hooch dives out of the way. Neville goes through the scatter and up a tower.}
5677,Ravenclaw,Hooch," Everyone out of the way! {She runs through the group, and they scatter.} Come on, get up."
5678,Ravenclaw,Hooch," Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get. {Draco reaches down and grabs Neville's Remembrall, which has fallen. Hooch begins to lead Neville away with her.} Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch. {Exit.}"
5679,Ravenclaw,Hooch," Now, I want a nice clean game...from all of you. {looks at Slytherin. She kicks the trunk, and the bludgers zoom out.}"
5680,Ravenclaw,Hooch, {Blows whistle} Gryffindor win!
5681,Ravenclaw,Hooch," Good afternoon, class."
5682,Ravenclaw,Hooch," Good afternoon, Amanda, good afternoon. {to class} Welcome to your first flying lesson. Well, what are you waiting for? Everyone step up to the left side of their broomstick. Come on now, hurry up. Stick your right hand over the broom and say, Up!"
5683,Ravenclaw,Hooch, With feeling!
5684,Ravenclaw,Hooch," Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end. {Class mounts} When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2...{tweet!}"
5685,Ravenclaw,Hooch, Mr. Longbottom.
5686,Ravenclaw,Hooch, {Neville begins soaring away} M-M-Mr. Longbottom Mr. Longbottom!
5687,Ravenclaw,Hooch, Mr. Longbottom!
5688,Ravenclaw,Hooch, Come back down this instant!
5689,Ravenclaw,Hooch, Mr. Longbottom! {Neville approaches. The students scatter and Hooch dives out of the way. Neville goes through the scatter and up a tower.}
5690,Ravenclaw,Hooch," Everyone out of the way! {She runs through the group, and they scatter.} Come on, get up."
5691,Ravenclaw,Hooch," Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get. {Draco reaches down and grabs Neville's Remembrall, which has fallen. Hooch begins to lead Neville away with her.} Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch. {Exit.}"
5692,Ravenclaw,Hooch," Now, I want a nice clean game...from all of you. {looks at Slytherin. She kicks the trunk, and the bludgers zoom out.}"
5693,Ravenclaw,Hooch, {Blows whistle} Gryffindor win!
5694,Slytherin,Horace Slughorn,"[in regard to returning to Hogwarts] All right, I'll do it! But I want Professor Merrythought's old office, not the water closet I had before. And I expect a raise, these are mad times we live in. MAD!"
5695,Slytherin,Horace Slughorn,"[Telling Harry the story of his deceased fish] It was a student who gave me Francis. One spring afternoon I discovered a bowl on my desk with just a few inches of clear water in it. And floating on the surface was a flower petal. As I watched, it sank. Just before it reached the bottom, it was transformed into a wee fish. It was beautiful magic, wondrous to behold. The flower petal had come from a lily. Your mother. The day I came downstairs, the day the bowl was empty, was the day your mother... I know why you're here, but I can't help you. It would ruin me."
5696,Slytherin,Igor,Albus! 
5697,Slytherin,Igor,You seem to have given this a fair bit of thought Mad-Eye. 
5698,Slytherin,Igor,I do sir. 
5699,Slytherin,Igor,"I have names sir. There was a Rosier, Evan Rosier. "
5700,Slytherin,Igor,Dead? 
5701,Slytherin,Igor,I didn't know. 
5702,Slytherin,Igor,"No! No! There was Rookwood, he was a spy. "
5703,Slytherin,Igor,"Ya ya, the same. He passed information to you know who from inside the ministry itself. "
5704,Slytherin,Igor,"NO! WAIT! PLEASE! I have more. Snape, Severus Snape. "
5705,Slytherin,Igor,It's a lie! Severus Snape remains faithful to the dark lord. 
5706,Slytherin,Igor,Oh no no no no no. I heard about one more. 
5707,Slytherin,Igor,The name... 
5708,Slytherin,Igor,"I know for a fact this person took part in the capture, and by means of the cruciatus curse, torture of the aurer Frank Longbottom and... "
5709,Slytherin,Igor,"Barty Crouch! ... Junior. Barty Crouch junior begins to run. Mad-Eye zaps him with magic, he falls into the center of the court. The crowd is in uproar. Guards seize Barty junior. "
5710,Slytherin,Igor,"It's a sign Severus, you know what it means as well as I. The door opens and they see Harry. He looks at them. Igor leaves. "
5711,Slytherin,Igor Karkaroff, You French tart! Everything is a conspiracy theory with you!
5712,Slytherin,Igor Karkaroff," I do, sir."
5713,Slytherin,Igor Karkaroff," I have names, sir. There was a Rosier, Evan Rosier."
5714,Slytherin,Igor Karkaroff, Dead?
5715,Slytherin,Igor Karkaroff, I didn't know.
5716,Slytherin,Igor Karkaroff," No! No! There was Rookwood, he was a spy."
5717,Slytherin,Igor Karkaroff," Ya ya, the same. He passed information to You-Know-Who from inside the Ministry itself."
5718,Slytherin,Igor Karkaroff," NO! WAIT! WAIT! PLEASE! PLEASE!. I have more! What about Snape, Severus Snape?"
5719,Slytherin,Igor Karkaroff, [with demented fury] It's a lie! Severus Snape remains faithful to the Dark Lord!
5720,Slytherin,Igor Karkaroff," Oh, no, no, no, no, no. I heard about one more."
5721,Slytherin,Igor Karkaroff, The name...
5722,Slytherin,Igor Karkaroff," I know for a fact that this person took part in the capture, and by means of the Cruciatus curse, torture of the Auror Frank Longbottom and his wife..."
5723,Slytherin,Igor Karkaroff," Barty Crouch! [Rita Skeeter gasps, pause] Junior."
5724,Gryffindor,"James ""Prongs"" Potter"," Come on, Moony! Padfoot! Snape! [points his wand at Snape] Expelliarmus!"
5725,Gryffindor,"James ""Prongs"" Potter"," Impedimenta! (Hogwartians start to chant ""Snivellus! Greasy! Snivellus! Greasy!"") [smirks] Right, who wants to see me take off Snivelly's trousers?"
5726,Gryffindor,James Potter," Harry, when the connection is broken you must get to the Portkey! We can linger for a moment to give you some time but only a moment. Do you understand?"
5727,Gryffindor,James Potter," Harry, when the connection is broken you must get to the Portkey! We can linger for a moment to give you some time but only a moment. Do you understand?"
5728,Gryffindor,James Potter," You're nearly there, son."
5729,Gryffindor,James Potter, Until the end.
5730,Hufflepuff,Justin Finch-Fletchley, What are you playing at?
5731,Hufflepuff,Justin Finch-Fletchley, What are you playing at?
5732,Slytherin,Karkaroff, Everything is a conspiracy theory!
5733,Slytherin,Karkaroff," You seem to have given this a fair bit of thought, Mad-Eye!"
5734,Gryffindor,Katie Bell," I know you're going to ask Harry, but I don't know who cursed me. I’ve been trying to remember, honestly. But I just can’t."
5735,Hufflepuff,Kingsley, [interrupting Harry] Dumbledore has persuaded the Minister to suspend your expulsion pending a formal hearing.
5736,Hufflepuff,Kingsley, Uh-huh.
5737,Hufflepuff,Kingsley," Whoo! You may not like him, Minister, but you can't deny - Dumbledore's got style! [Fudge gives Kingsley a WTF look]"
5738,Hufflepuff,Kingsley Shacklebolt," You may not like him, Minister, but you can't deny"
5739,Hufflepuff,Kingsley Shacklebolt, Who said that?
5740,No Entry,Kreacher,Kreacher has been watching.
5741,No Entry,Kreacher,"Blood traitor, Weasley."
5742,No Entry,Kreacher,#NAME?
5743,No Entry,Kreacher,Yes.
5744,No Entry,Kreacher,It was here in this house.
5745,No Entry,Kreacher,A most evil object.
5746,No Entry,Kreacher,How do you mean?
5747,No Entry,Kreacher,"Before Master Regulus died,"
5748,No Entry,Kreacher,he ordered Kreacher to destroy it...
5749,No Entry,Kreacher,"...but no matter how hard Kreacher tried,"
5750,No Entry,Kreacher,he could not do it.
5751,No Entry,Kreacher,"Well, where is it now?"
5752,No Entry,Kreacher,#NAME?
5753,No Entry,Kreacher,#NAME?
5754,No Entry,Kreacher,"He took many things,"
5755,No Entry,Kreacher,including the locket.
5756,No Entry,Kreacher,Who did?
5757,No Entry,Kreacher,"Who was it, Kreacher?"
5758,No Entry,Kreacher,Mundungus.
5759,No Entry,Kreacher,Mundungus Fletcher.
5760,No Entry,Kreacher,Find him.
5761,No Entry,Kreacher,My father will hear about this.
5762,No Entry,Kreacher,You....
5763,Gryffindor,Lavender, Oops! I think this room's taken! [runs off]
5764,Gryffindor,Lavender, [noticing Hermione at Ron's side in the Hospital Wing] What's she doing here!?
5765,Gryffindor,Lavender, I happen to be his girlfriend!
5766,Gryffindor,Lavender, Don't make me laugh. You haven't spoken in weeks! I suppose you want to make up now that he's suddenly all interesting!
5767,Gryffindor,Lavender," Ah! See? He senses my presence. [leans down] Don't worry, Won-Won! I'm here. I'm here."
5768,Gryffindor,Lee," Hello, and welcome to Hogwarts' first Quidditch game of the season! Today's game Slytherin versus Gryffindor!!!"
5769,Gryffindor,Lee, The players take their positions as Madam Hooch steps out onto the field to begin the game.
5770,Gryffindor,Lee," The bludgers are up...followed by the Golden Snitch. Remember, the snitch is worth 150 points. The seeker who catches the Snitch ends the game."
5771,Gryffindor,Lee, The Quaffle is released...and the game begins!
5772,Gryffindor,Lee, Angelina Johnson scores! 10 points for Gryffindor! {He presses a button and a 10 shows up beside a plaque with Gryffindors name.}
5773,Gryffindor,Lee, Slytherin takes possession of the Quaffle. Bletchley passes to Captain Marcus Flint.
5774,Gryffindor,Lee, Another 10 points to Gryffindor! {ding.}
5775,Gryffindor,Lee, He's got the Snitch! Harry Potter receives 150 points for catching the Snitch!
5776,Gryffindor,Lee," Yeah! We won!! {Jumps with Harry, who looks back and grins very widely.}"
5777,Gryffindor,Lee," Hello, and welcome to Hogwarts' first Quidditch game of the season! Today's game Slytherin versus Gryffindor!!!"
5778,Gryffindor,Lee, The players take their positions as Madam Hooch steps out onto the field to begin the game.
5779,Gryffindor,Lee," The bludgers are up...followed by the Golden Snitch. Remember, the snitch is worth 150 points. The seeker who catches the Snitch ends the game."
5780,Gryffindor,Lee, The Quaffle is released...and the game begins!
5781,Gryffindor,Lee, Angelina Johnson scores! 10 points for Gryffindor! {He presses a button and a 10 shows up beside a plaque with Gryffindors name.}
5782,Gryffindor,Lee, Slytherin takes possession of the Quaffle. Bletchley passes to Captain Marcus Flint.
5783,Gryffindor,Lee, Another 10 points to Gryffindor! {ding.}
5784,Gryffindor,Lee, He's got the Snitch! Harry Potter receives 150 points for catching the Snitch!
5785,Gryffindor,Lee," Yeah! We won!! {Jumps with Harry, who looks back and grins very widely.}"
5786,Gryffindor,Lee Jordan, Another goal for Slytherin! They lead Gryffindor ninety to thirty!
5787,Gryffindor,Lee Jordan, Harry Potter has caught the Snitch! Gryffindor wins!
5788,Gryffindor,Lee Jordan, Another goal for Slytherin! They lead Gryffindor ninety to thirty!
5789,Gryffindor,Lee Jordan, Harry Potter has caught the Snitch! Gryffindor wins!
5790,Gryffindor,Lily Potter," Let go. Sweetheart, you're ready. Let go! LET GO!"
5791,Gryffindor,Lily Potter," Let go. Sweetheart, you're ready. Let go... LET GO!"
5792,Gryffindor,Lily Potter," Harry, you are so loved, so loved. [Whispering] Harry, Mama loves you. Dada loves you. Harry, be safe. Be strong."
5793,Gryffindor,Lily Potter," You've been so brave, sweetheart."
5794,Gryffindor,Lily Potter, We never left.
5795,Gryffindor,Lily Potter, Always.
5796,Ravenclaw,Lockhart, [entering] So sorry. Dozed off. What have I missed?
5797,Ravenclaw,Lockhart, My moment?
5798,Ravenclaw,Lockhart, Very well. I'll just be in my office getting... getting ready.
5799,Ravenclaw,Lockhart," [nervously] Um, well, yes. Urgent call, unavoidable. Got to go..."
5800,Ravenclaw,Lockhart," Well, as to that - most unfortunate. No one regrets more than I..."
5801,Ravenclaw,Lockhart," I must say, when I took the job, nothing in the job description--"
5802,Ravenclaw,Lockhart, Books can be misleading.
5803,Ravenclaw,Lockhart," My dear boy, do use your common sense! My books wouldn't have sold half as well if people didn't think I'd done all those things!"
5804,Ravenclaw,Lockhart," Yes, now you mention it. I'm rather gifted with Memory Charms. Otherwise, you see, all those wizards would have gone blabbing, and I'd never have sold another book. And now, I'm afraid I'll have to do the same to you--"
5805,Ravenclaw,Lockhart," [jumps up and grabs Ron's wand; aims the wand at Harry, then at Ron, then at Harry again] The adventure ends here, boys. But don't fret. [Points it at Ron] The world will know our story. How I was too late to save the girl. How you two tragically lost your minds at the sight of her mangled body. So... [Aims it at Harry] You first, Mr. Potter. Say goodbye... to your memories. Obliviate!"
5806,Slytherin,Lord Voldemort,"How fastidious you've become, Wormtail. As I recall, you once called the nearest gutter pipe home. Could it be the task of nursing me has become wearisome for you?"
5807,Slytherin,Lord Voldemort,No! The boy is everything! It cannot be done without him. And it will be done exactly as I said.
5808,Slytherin,Lord Voldemort,Nagini tells me the old Muggle caretaker is standing just outside the door.
5809,Slytherin,Lord Voldemort,"Step aside, Wormtail, so I can give our guest a proper greeting."
5810,Slytherin,Lord Voldemort,"Harry, at last!"
5811,Slytherin,Lord Voldemort,Kill the spare.
5812,Slytherin,Lord Voldemort,"The other arm, Wormtail."
5813,Slytherin,Lord Voldemort,"[The Death Eaters appear] Welcome, my friends. Thirteen years it's been, and yet, here you stand before me, as though it were only yesterday. I confess myself... disappointed. Not one of you tried to find me. [He unmasks the Death Eaters one by one and as he does they fall to their knees] Crabbe! Macnair! Goyle! Not even you, Lucius. [He pulls off Lucius' mask who falls to his knees]"
5814,Slytherin,Lord Voldemort,"Harry. I'd almost forgotten you were here. Standing on the bones of my father. I'd introduce you, but word has it you're almost as famous as me these days. The Boy-Who-Lived. How lies have fed your legend, Harry! Shall I reveal what really happened that night thirteen years ago? Shall I divulge how I truly lost my powers? Yes, shall I? It was love. You see, when dear, sweet Lily Potter gave her life for her only son, she provided the ultimate protection. I could not touch him. It was old magic. Something I should have foreseen. But no matter, no matter. Things have changed. I CAN TOUCH YOU NOW! [He places his finger on Harry's forehead lightning bolt scar, and Harry immediately screams out in agony, to Voldemort's cruel delight] Astonishing what a few drops of your blood will do, eh, Harry?"
5815,Slytherin,Lord Voldemort,"(as he roughly releases the scythe) Pick up your wand, Potter! I said, pick it up! Get up! Get up! (Harry gets his wand) You've been taught how to duel, I presume, yes? First, we bow to each other. (he bows, Harry does not) Come on now, Harry. The niceties must be observed. Dumbledore wouldn't want you to forget your manners, would he? I said, BOW! (uses a curse to make Harry bow) That's better, and now: Crucio! (Harry writhes on the grass in pain) Crucio! (the curse goes away) Attaboy, Harry! Your parents would be proud. Especially your filthy Muggle mother!"
5816,Slytherin,Lord Voldemort,"I'm going to kill you, Harry Potter. I'm going to destroy you. (leans down to meet Harry's eyes) After tonight, no one will ever again question my powers. After tonight, if they speak of you, they'll speak only of how you begged for death... and I, being a merciful Lord, obliged. Get up! (Harry groans)"
5817,Slytherin,Lord Voldemort,"(as he fires the Killing Curse at the tombstone; shouting) Don't you turn your back on me, Harry Potter! I want you to look at me when I kill you! I WANT TO SEE THE LIGHT LEAVE YOUR EYES!"
5818,Slytherin,Lord Voldemort,[To the onlooking Death Eaters during Priori Incantatem] Do nothing! He's mine to finish!
5819,Slytherin,Lord Voldemort," I do not need to seek the boy. Before the night is out, he will come to me! Do you understand?! [slaps his face] Look at me! How can you live with yourself, Lucius?"
5820,Slytherin,Lord Voldemort, Go and find Severus. Bring him to me.
5821,Slytherin,Lord Voldemort," No. No, I am extraordinary, but the wand... resists me."
5822,Slytherin,Lord Voldemort, Does it?
5823,Slytherin,Lord Voldemort," The wand, does it truly answer to me? You're a clever man, Severus. Surely, you must know. Where does its true loyalty lie?"
5824,Slytherin,Lord Voldemort," The Elder Wand cannot serve me properly because I am not its true master. The Elder Wand belongs to the wizard who killed its last owner. You killed Dumbledore, Severus. While you live, the Elder Wand cannot truly be mine. You've been a good and faithful servant, Severus, but only I can live...forever."
5825,Slytherin,Lord Voldemort," Nagini, kill. [Nagini repeatedly bites Snape, mortally wounding him]"
5826,Slytherin,Lord Voldemort, Harry Potter... is dead!
5827,Slytherin,Lord Voldemort," Silence! [fires a spell towards Ginny, causing her to back down] Stupid girl. Harry Potter is dead. [to Hogwarts' assembled] From this day forth, you put your faith... in me. [to Death Eaters] Harry Potter is dead! [He and his Death Eaters laugh] And now is the time to declare yourself. Come forward and join us... or die."
5828,Slytherin,Lord Voldemort," Well done, Draco. Well done. [Draco walks to his parents. Neville comes forward] Well, I must say, I hoped for better. [Death Eaters laugh] And who might you be, young man?"
5829,Slytherin,Lord Voldemort," Well, Neville, I'm sure we can find a place for you in our ranks--"
5830,Slytherin,Lord Voldemort," [makes a fist, but then lowers it] Well, Neville, I'm sure we'd all be fascinated to hear what you have to say."
5831,Slytherin,Lord Voldemort, [last and final words] I killed Snape!
5832,Slytherin,Lucius,"Well put it this way, if it rains... you'll be the first to know "
5833,Slytherin,Lucius,Don't boast Draco. There's no need with these people. Do enjoy yourself won't you. While you can. The ceremonies begin. Balloons fly and fireworks go off. 
5834,Slytherin,Lucius,My lord. Had I detected any sign or even a whisper of your whereabouts. 
5835,Slytherin,Lucius,"I assure you I never renounced the old ways. The face I have been obliged to present each day since your absence, that was my true mask. "
5836,Slytherin,Lucius, I see.
5837,Slytherin,Lucius Malfoy," Now, now Draco, play nicely. Mr. Potter… Lucius Malfoy. We meet at last. Forgive me, your scar is legend, as, of course, is the wizard who gave it to you."
5838,Slytherin,Lucius Malfoy," Hmm. You must be very brave, to mention his name…or very foolish."
5839,Slytherin,Lucius Malfoy," And you must be… Miss Granger. Yes, Draco’s told me all about you, and your parents. Muggles, aren’t they? Let me see…red hair… vacant expressions… tatty second hand book. You must be the Weasleys."
5840,Slytherin,Lucius Malfoy," Well, well, well. Weasley senior."
